196,Iy1, Iz,Iz with 196 ohm,Iz with 39 ohm,Iz with 1k,,976,Iy2, Iz,Iz2,,39 ohm,Iy3, Iz,Iz3,,,, Iz,Iz4
,1.00E-09,-0.000695,0.000695,0.01821,0.00324,,,1.00E-09,-0.0001316,0.0001316,,,1.00E-09,-0.01821,0.01821,,,,-0.00324,0.00324
,1.15E-09,-0.000694,0.000694,0.01831,0.00318,,,1.15E-09,-0.0001317,0.0001317,,,1.15E-09,-0.01831,0.01831,,,,-0.00318,0.00318
,1.40E-09,-0.000694,0.000694,0.01838,0.00314,,,1.40E-09,-0.0001318,0.0001318,,,1.40E-09,-0.01838,0.01838,,,,-0.00314,0.00314
,1.60E-09,-0.000694,0.000694,0.01843,0.00311,,,1.60E-09,-0.000132,0.000132,,,1.60E-09,-0.01843,0.01843,,,,-0.00311,0.00311
,1.90E-09,-0.000695,0.000695,0.01846,0.00308,,,1.90E-09,-0.0001321,0.0001321,,,1.90E-09,-0.01846,0.01846,,,,-0.00308,0.00308
,2.25E-09,-0.000695,0.000695,0.01849,0.00305,,,2.25E-09,-0.0001324,0.0001324,,,2.25E-09,-0.01849,0.01849,,,,-0.00305,0.00305
,2.65E-09,-0.000695,0.000695,0.01852,0.00303,,,2.65E-09,-0.0001325,0.0001325,,,2.65E-09,-0.01852,0.01852,,,,-0.00303,0.00303
,3.10E-09,-0.000695,0.000695,0.01854,0.00301,,,3.10E-09,-0.0001324,0.0001324,,,3.10E-09,-0.01854,0.01854,,,,-0.00301,0.00301
,3.65E-09,-0.000695,0.000695,0.01856,0.00299,,,3.65E-09,-0.0001325,0.0001325,,,3.65E-09,-0.01856,0.01856,,,,-0.00299,0.00299
,4.25E-09,-0.000695,0.000695,0.01857,0.00298,,,4.25E-09,-0.0001325,0.0001325,,,4.25E-09,-0.01857,0.01857,,,,-0.00298,0.00298
,5.00E-09,-0.000695,0.000695,0.01858,0.00296,,,5.00E-09,-0.0001326,0.0001326,,,5.00E-09,-0.01858,0.01858,,,,-0.00296,0.00296
,5.90E-09,-0.000695,0.000695,0.0186,0.00295,,,5.90E-09,-0.0001326,0.0001326,,,5.90E-09,-0.0186,0.0186,,,,-0.00295,0.00295
,6.90E-09,-0.000695,0.000695,0.0186,0.00294,,,6.90E-09,-0.0001326,0.0001326,,,6.90E-09,-0.0186,0.0186,,,,-0.00294,0.00294
,8.15E-09,-0.000695,0.000695,0.01861,0.00293,,,8.15E-09,-0.0001326,0.0001326,,,8.15E-09,-0.01861,0.01861,,,,-0.00293,0.00293
