NOTE! USE JUST THE FIRST TRIAL, IT WAS TAKEN WITH TWO 39 OHM RESISTORS
Sweeping current Ix for 3 values of Iy,
Trial 1 for input current Ix,
Ix, Iz
1.00E-09,-0.01821
1.15E-09,-0.01831
1.40E-09,-0.01838
1.60E-09,-0.01843
1.90E-09,-0.01846
2.25E-09,-0.01849
2.65E-09,-0.01852
3.10E-09,-0.01854
3.65E-09,-0.01856
4.25E-09,-0.01857
5.00E-09,-0.01858
5.90E-09,-0.0186
6.90E-09,-0.0186
8.15E-09,-0.01861
9.55E-09,-0.01862
1.12E-08,-0.01862
1.32E-08,-0.01863
1.55E-08,-0.01864
1.82E-08,-0.01864
2.14E-08,-0.01864
2.51E-08,-0.01864
2.95E-08,-0.01865
3.47E-08,-0.01865
4.08E-08,-0.01865
4.79E-08,-0.01865
5.63E-08,-0.01865
6.61E-08,-0.01865
7.76E-08,-0.01866
9.12E-08,-0.01866
1.07E-07,-0.01866
1.26E-07,-0.01867
1.48E-07,-0.01867
1.74E-07,-0.01866
2.04E-07,-0.01866
2.40E-07,-0.01867
2.82E-07,-0.01868
3.31E-07,-0.01869
3.89E-07,-0.01869
4.57E-07,-0.01873
5.37E-07,-0.01992
6.31E-07,-0.01996
7.42E-07,-0.01999
8.71E-07,-0.02
1.02E-06,-0.02001
1.20E-06,-0.02001
1.41E-06,-0.02002
1.66E-06,-0.02002
1.95E-06,-0.02002
2.29E-06,-0.02002
2.69E-06,-0.02002
3.16E-06,-0.02001
3.72E-06,-0.02
4.37E-06,-0.01999
5.13E-06,-0.01913
6.03E-06,-0.01885
7.08E-06,-0.01876
8.32E-06,-0.01873
9.77E-06,-0.01871
1.15E-05,-0.01869
1.35E-05,-0.01867
1.59E-05,-0.01866
1.86E-05,-0.01864
2.19E-05,-0.01863
2.57E-05,-0.01862
3.02E-05,-0.01861
3.55E-05,-0.0186
4.17E-05,-0.01858
4.90E-05,-0.01856
5.76E-05,-0.01854
6.76E-05,-0.01852
7.95E-05,-0.01849
9.34E-05,-0.01846
0.00010965,-0.01843
0.0001288,-0.01839
0.00015135,-0.01835
0.00017785,-0.0183
0.000209,-0.01825
0.0002455,-0.01818
0.0002885,-0.01809
0.000339,-0.018
0.000398,-0.01788
0.0004675,-0.01774
0.0005495,-0.01756
0.0006455,-0.01736
0.0007585,-0.01709
0.0008915,-0.01676
0.001047,-0.01632
0.0012305,-0.01576
0.0014455,-0.01501
0.001698,-0.01398
0.0019955,-0.01255
0.002345,-0.01068
0.002755,-0.00802
0.003235,-0.00547
0.0038,-0.00343
0.004465,-0.00199
0.00525,-0.00106
0.006165,-0.000538
0.007245,-0.000251
0.00851,-0.000107
0.01,-4.33E-05
Trial 2 for input current Ix,
Ix, Iz
1.00E-09,-0.00324
1.15E-09,-0.00318
1.40E-09,-0.00314
1.60E-09,-0.00311
1.90E-09,-0.00308
2.25E-09,-0.00305
2.65E-09,-0.00303
3.10E-09,-0.00301
3.65E-09,-0.00299
4.25E-09,-0.00298
5.00E-09,-0.00296
5.90E-09,-0.00295
6.90E-09,-0.00294
8.15E-09,-0.00293
9.55E-09,-0.00292
1.12E-08,-0.00291
1.32E-08,-0.0029
1.55E-08,-0.00289
1.82E-08,-0.00288
2.14E-08,-0.00288
2.51E-08,-0.00289
2.95E-08,-0.00316
3.47E-08,-0.00315
4.08E-08,-0.00315
4.79E-08,-0.00314
5.63E-08,-0.00313
6.61E-08,-0.00312
7.76E-08,-0.00312
9.12E-08,-0.0031
1.07E-07,-0.00303
1.26E-07,-0.0028
1.48E-07,-0.00278
1.74E-07,-0.00278
2.04E-07,-0.00277
2.40E-07,-0.00276
2.82E-07,-0.00276
3.31E-07,-0.00276
3.89E-07,-0.00275
4.57E-07,-0.00275
5.37E-07,-0.00274
6.31E-07,-0.00273
7.42E-07,-0.00273
8.71E-07,-0.00272
1.02E-06,-0.00271
1.20E-06,-0.00271
1.41E-06,-0.0027
1.66E-06,-0.00269
1.95E-06,-0.00269
2.29E-06,-0.00268
2.69E-06,-0.00267
3.16E-06,-0.00266
3.72E-06,-0.00265
4.37E-06,-0.00264
5.13E-06,-0.00262
6.03E-06,-0.00261
7.08E-06,-0.00259
8.32E-06,-0.00257
9.77E-06,-0.00255
1.15E-05,-0.00252
1.35E-05,-0.00249
1.59E-05,-0.00245
1.86E-05,-0.00241
2.19E-05,-0.00236
2.57E-05,-0.0023
3.02E-05,-0.00223
3.55E-05,-0.00214
4.17E-05,-0.00204
4.90E-05,-0.00192
5.76E-05,-0.00177
6.76E-05,-0.00158
7.95E-05,-0.00138
9.34E-05,-0.00114
0.00010965,-0.000925
0.0001288,-0.000717
0.00015135,-0.000549
0.00017785,-0.000424
0.000209,-0.000338
0.0002455,-0.000266
0.0002885,-0.000212
0.000339,-0.00017
0.000398,-0.000138
0.0004675,-0.000111
0.0005495,-9.26E-05
0.0006455,-7.49E-05
0.0007585,-5.97E-05
0.0008915,-4.67E-05
0.001047,-3.56E-05
0.0012305,-2.65E-05
0.0014455,-1.91E-05
0.001698,-1.32E-05
0.0019955,-8.77E-06
0.002345,-5.92E-06
0.002755,-3.60E-06
0.003235,-2.09E-06
0.0038,-1.15E-06
0.004465,-6.19E-07
0.00525,-3.04E-07
0.006165,-1.40E-07
0.007245,-5.97E-08
0.00851,-2.20E-08
0.01,-5.40E-09
Trial 3 for input current Ix,
Ix, Iz
1.00E-09,-2.33E-05
1.15E-09,-2.32E-05
1.40E-09,-2.32E-05
1.60E-09,-2.32E-05
1.90E-09,-2.33E-05
2.25E-09,-2.33E-05
2.65E-09,-2.33E-05
3.10E-09,-2.33E-05
3.65E-09,-2.33E-05
4.25E-09,-2.33E-05
5.00E-09,-2.33E-05
5.90E-09,-2.33E-05
6.90E-09,-2.32E-05
8.15E-09,-2.32E-05
9.55E-09,-2.32E-05
1.12E-08,-2.32E-05
1.32E-08,-2.32E-05
1.55E-08,-2.31E-05
1.82E-08,-2.31E-05
2.14E-08,-2.31E-05
2.51E-08,-2.30E-05
2.95E-08,-2.29E-05
3.47E-08,-2.28E-05
4.08E-08,-2.27E-05
4.79E-08,-2.26E-05
5.63E-08,-2.25E-05
6.61E-08,-2.23E-05
7.76E-08,-2.21E-05
9.12E-08,-2.19E-05
1.07E-07,-2.16E-05
1.26E-07,-2.13E-05
1.48E-07,-2.09E-05
1.74E-07,-2.04E-05
2.04E-07,-1.99E-05
2.40E-07,-1.92E-05
2.82E-07,-1.83E-05
3.31E-07,-1.73E-05
3.89E-07,-1.59E-05
4.57E-07,-1.42E-05
5.37E-07,-1.18E-05
6.31E-07,-8.16E-06
7.42E-07,-1.20E-09
8.71E-07,-1.30E-09
1.02E-06,-1.40E-09
1.20E-06,-1.20E-09
1.41E-06,-1.40E-09
1.66E-06,-1.20E-09
1.95E-06,-1.00E-09
2.29E-06,-1.10E-09
2.69E-06,-1.10E-09
3.16E-06,-9.00E-10
3.72E-06,-1.10E-09
4.37E-06,-7.00E-10
5.13E-06,-6.00E-10
6.03E-06,-1.10E-09
7.08E-06,-1.00E-09
8.32E-06,-1.00E-09
9.77E-06,-9.00E-10
1.15E-05,-6.00E-10
1.35E-05,-8.00E-10
1.59E-05,-7.00E-10
1.86E-05,-6.00E-10
2.19E-05,-8.00E-10
2.57E-05,-6.00E-10
3.02E-05,-8.00E-10
3.55E-05,-1.00E-09
4.17E-05,-7.00E-10
4.90E-05,-8.00E-10
5.76E-05,-7.00E-10
6.76E-05,-1.10E-09
7.95E-05,-7.00E-10
9.34E-05,-1.00E-09
0.00010965,-3.00E-10
0.0001288,-9.00E-10
0.00015135,-7.00E-10
0.00017785,-9.00E-10
0.000209,-1.10E-09
0.0002455,-7.00E-10
0.0002885,-4.00E-10
0.000339,-8.00E-10
0.000398,-8.00E-10
0.0004675,-8.00E-10
0.0005495,-8.00E-10
0.0006455,-7.00E-10
0.0007585,-7.00E-10
0.0008915,-4.00E-10
