NOTE! ONLY USE FIRST THREE TRIALS
Sweeping current Ix for 3 values of Iy
Trial 1 for input current Ix
Ix, Iz
1e-09,-1.4e-09
1.15e-09,-1.3e-09
1.4e-09,-1.1e-09
1.6e-09,-1.2e-09
1.9e-09,-1.2e-09
2.25e-09,-1.1e-09
2.65e-09,-1.3e-09
3.1e-09,-1.4e-09
3.65e-09,-1.2e-09
4.25e-09,-1e-09
5e-09,-1.2e-09
5.9e-09,-1.3e-09
6.9e-09,-9e-10
8.15e-09,-1.4e-09
9.55e-09,-1.3e-09
1.12e-08,-1.3e-09
1.32e-08,-1.4e-09
1.55e-08,-1.1e-09
1.82e-08,-1.6e-09
2.14e-08,-1.2e-09
2.51e-08,-1.2e-09
2.95e-08,-1e-09
3.465e-08,-1e-09
4.075e-08,-1.4e-09
4.785e-08,-1.2e-09
5.625e-08,-9e-10
6.605e-08,-1.6e-09
7.76e-08,-1.2e-09
9.12e-08,-1.1e-09
1.0715e-07,-1.2e-09
1.259e-07,-1.1e-09
1.479e-07,-2e-09
1.738e-07,-1.2e-09
2.04e-07,-4e-10
2.4e-07,-1.8e-09
2.82e-07,-1.4e-09
3.31e-07,-1.6e-09
3.89e-07,-1.5e-09
4.57e-07,-1.3e-09
5.37e-07,-1.6e-09
6.31e-07,-1.7e-09
7.415e-07,-1.9e-09
8.71e-07,-2.1e-09
1.0235e-06,-2.7e-09
1.2025e-06,-2.8e-09
1.4125e-06,-3.7e-09
1.6595e-06,-4.4e-09
1.95e-06,-5.5e-09
2.29e-06,-6.8e-09
2.69e-06,-9.6e-09
3.16e-06,-1.22e-08
3.715e-06,-1.66e-08
4.365e-06,-2.25e-08
5.13e-06,-3.08e-08
6.025e-06,-4.31e-08
7.08e-06,-5.92e-08
8.32e-06,-8.16e-08
9.77e-06,-1.127e-07
1.148e-05,-1.562e-07
1.349e-05,-2.19e-07
1.585e-05,-3.04e-07
1.862e-05,-4.22e-07
2.19e-05,-5.58e-07
2.57e-05,-7.74e-07
3.02e-05,-1.079e-06
3.55e-05,-1.503e-06
4.17e-05,-2.08e-06
4.9e-05,-2.91e-06
5.755e-05,-4.08e-06
6.76e-05,-5.67e-06
7.945e-05,-7.88e-06
9.335e-05,-1.092e-05
0.00010965,-1.514e-05
0.0001288,-2.15e-05
0.00015135,-2.97e-05
0.00017785,-4.11e-05
0.000209,-5.52e-05
0.0002455,-7.66e-05
0.0002885,-0.0001061
0.000339,-0.0001462
0.000398,-0.0002
0.0004675,-0.000278
0.0005495,-0.000387
0.0006455,-0.000536
0.0007585,-0.000741
0.0008915,-0.001023
0.001047,-0.00141
0.0012305,-0.001932
0.0014455,-0.00269
0.001698,-0.00368
0.0019955,-0.00502
0.002345,-0.00658
0.002755,-0.00892
0.003235,-0.01195
0.0038,-0.01578
0.004465,-0.02036
0.00525,-0.02036
0.006165,-0.02036
0.007245,-0.02036
0.00851,-0.02036
0.01,-0.02036
Trial 2 for input current Ix
Ix, Iz
1e-09,-1.77e-08
1.15e-09,-1.79e-08
1.4e-09,-1.78e-08
1.6e-09,-1.79e-08
1.9e-09,-1.75e-08
2.25e-09,-1.76e-08
2.65e-09,-1.78e-08
3.1e-09,-1.79e-08
3.65e-09,-1.76e-08
4.25e-09,-1.78e-08
5e-09,-1.76e-08
5.9e-09,-1.79e-08
6.9e-09,-1.76e-08
8.15e-09,-1.76e-08
9.55e-09,-1.78e-08
1.12e-08,-1.76e-08
1.32e-08,-1.75e-08
1.55e-08,-1.77e-08
1.82e-08,-1.76e-08
2.14e-08,-1.76e-08
2.51e-08,-1.77e-08
2.95e-08,-1.77e-08
3.465e-08,-1.79e-08
4.075e-08,-1.78e-08
4.785e-08,-1.77e-08
5.625e-08,-1.78e-08
6.605e-08,-1.78e-08
7.76e-08,-1.78e-08
9.12e-08,-1.82e-08
1.0715e-07,-1.81e-08
1.259e-07,-1.8e-08
1.479e-07,-1.81e-08
1.738e-07,-1.82e-08
2.04e-07,-1.85e-08
2.4e-07,-1.86e-08
2.82e-07,-1.9e-08
3.31e-07,-1.93e-08
3.89e-07,-2.04e-08
4.57e-07,-2.1e-08
5.37e-07,-2.24e-08
6.31e-07,-2.38e-08
7.415e-07,-2.63e-08
8.71e-07,-2.95e-08
1.0235e-06,-3.31e-08
1.2025e-06,-3.82e-08
1.4125e-06,-4.53e-08
1.6595e-06,-5.46e-08
1.95e-06,-6.71e-08
2.29e-06,-8.23e-08
2.69e-06,-1.05e-07
3.16e-06,-1.366e-07
3.715e-06,-1.794e-07
4.365e-06,-2.44e-07
5.13e-06,-3.28e-07
6.025e-06,-4.46e-07
7.08e-06,-6.07e-07
8.32e-06,-8.27e-07
9.77e-06,-1.128e-06
1.148e-05,-1.546e-06
1.349e-05,-2.11e-06
1.585e-05,-2.91e-06
1.862e-05,-4.01e-06
2.19e-05,-5.3e-06
2.57e-05,-7.33e-06
3.02e-05,-1.017e-05
3.55e-05,-1.406e-05
4.17e-05,-1.933e-05
4.9e-05,-2.76e-05
5.755e-05,-3.82e-05
6.76e-05,-5.28e-05
7.945e-05,-7.27e-05
9.335e-05,-0.0001
0.00010965,-0.0001378
0.0001288,-0.0001886
0.00015135,-0.000261
0.00017785,-0.00036
0.000209,-0.000482
0.0002455,-0.000667
0.0002885,-0.000922
0.000339,-0.001267
0.000398,-0.001728
0.0004675,-0.00238
0.0005495,-0.00326
0.0006455,-0.00441
0.0007585,-0.00591
0.0008915,-0.00785
0.001047,-0.0103
0.0012305,-0.01334
0.0014455,-0.01701
0.001698,-0.02036
0.0019955,-0.02036
0.002345,-0.02036
0.002755,-0.02036
0.003235,-0.02036
0.0038,-0.02036
0.004465,-0.02036
0.00525,-0.02036
0.006165,-0.02036
0.007245,-0.02036
0.00851,-0.02036
0.01,-0.02036
Trial 3 for input current Ix
Ix, Iz
1e-09,-3.4e-07
1.15e-09,-3.41e-07
1.4e-09,-3.41e-07
1.6e-09,-3.42e-07
1.9e-09,-3.42e-07
2.25e-09,-3.41e-07
2.65e-09,-3.41e-07
3.1e-09,-3.42e-07
3.65e-09,-3.41e-07
4.25e-09,-3.41e-07
5e-09,-3.41e-07
5.9e-09,-3.41e-07
6.9e-09,-3.41e-07
8.15e-09,-3.41e-07
9.55e-09,-3.41e-07
1.12e-08,-3.41e-07
1.32e-08,-3.41e-07
1.55e-08,-3.41e-07
1.82e-08,-3.41e-07
2.14e-08,-3.41e-07
2.51e-08,-3.4e-07
2.95e-08,-3.4e-07
3.465e-08,-3.39e-07
4.075e-08,-3.39e-07
4.785e-08,-3.38e-07
5.625e-08,-3.38e-07
6.605e-08,-3.38e-07
7.76e-08,-3.38e-07
9.12e-08,-3.38e-07
1.0715e-07,-3.38e-07
1.259e-07,-3.38e-07
1.479e-07,-3.39e-07
1.738e-07,-3.39e-07
2.04e-07,-3.4e-07
