NOTE! USE TRIAL THREE FOR SURE,,Ix, Iz,,,Ix, Iz,,,Ix, Iz,,,Iy, Iz,,,Iy, Iz,,,
Sweeping current Ix for 3 values of Iy,,1.00E-09,-0.001537,,,1.00E-09,-0.00128,,,1.00E-09,-4.86E-05,,,1.00E-09,-0.01175,,,1.00E-09,-0.01184,,,
Trial 1 for input current Ix,,1.15E-09,-0.001537,,,1.15E-09,-0.00128,,,1.15E-09,-4.87E-05,,,1.15E-09,-0.01176,,,1.15E-09,-0.01184,,,
Ix, Iz,1.40E-09,-0.001536,,,1.40E-09,-0.00128,,,1.40E-09,-4.89E-05,,,1.40E-09,-0.01175,,,1.40E-09,-0.01183,,,
1.00E-09,-0.001537,1.60E-09,-0.001537,,,1.60E-09,-0.00128,,,1.60E-09,-4.89E-05,,,1.60E-09,-0.01175,,,1.60E-09,-0.01182,,,
1.15E-09,-0.001537,1.90E-09,-0.001537,,,1.90E-09,-0.00128,,,1.90E-09,-4.91E-05,,,1.90E-09,-0.01176,,,1.90E-09,-0.01182,,,
1.40E-09,-0.001536,2.25E-09,-0.001537,,,2.25E-09,-0.00128,,,2.25E-09,-4.93E-05,,,2.25E-09,-0.01176,,,2.25E-09,-0.01181,,,
1.60E-09,-0.001537,2.65E-09,-0.001537,,,2.65E-09,-0.00128,,,2.65E-09,-4.97E-05,,,2.65E-09,-0.01176,,,2.65E-09,-0.01181,,,
1.90E-09,-0.001537,3.10E-09,-0.001536,,,3.10E-09,-0.00127,,,3.10E-09,-4.99E-05,,,3.10E-09,-0.01176,,,3.10E-09,-0.0118,,,
2.25E-09,-0.001537,3.65E-09,-0.001536,,,3.65E-09,-0.00127,,,3.65E-09,-5.01E-05,,,3.65E-09,-0.01176,,,3.65E-09,-0.0118,,,
2.65E-09,-0.001537,4.25E-09,-0.001537,,,4.25E-09,-0.00127,,,4.25E-09,-5.02E-05,,,4.25E-09,-0.01176,,,4.25E-09,-0.0118,,,
3.10E-09,-0.001536,5.00E-09,-0.001537,,,5.00E-09,-0.00127,,,5.00E-09,-5.05E-05,,,5.00E-09,-0.01177,,,5.00E-09,-0.0118,,,
3.65E-09,-0.001536,5.90E-09,-0.001537,,,5.90E-09,-0.00127,,,5.90E-09,-5.11E-05,,,5.90E-09,-0.01177,,,5.90E-09,-0.0118,,,
4.25E-09,-0.001537,6.90E-09,-0.001537,,,6.90E-09,-0.00127,,,6.90E-09,-5.18E-05,,,6.90E-09,-0.01177,,,6.90E-09,-0.0118,,,
5.00E-09,-0.001537,8.15E-09,-0.001538,,,8.15E-09,-0.00127,,,8.15E-09,-5.25E-05,,,8.15E-09,-0.01177,,,8.15E-09,-0.0118,,,
5.90E-09,-0.001537,9.55E-09,-0.001538,,,9.55E-09,-0.00128,,,9.55E-09,-5.34E-05,,,9.55E-09,-0.01177,,,9.55E-09,-0.0118,,,
6.90E-09,-0.001537,1.12E-08,-0.001539,,,1.12E-08,-0.00128,,,1.12E-08,-5.44E-05,,,1.12E-08,-0.01177,,,1.12E-08,-0.0118,,,
8.15E-09,-0.001538,1.32E-08,-0.00154,,,1.32E-08,-0.00128,,,1.32E-08,-5.55E-05,,,1.32E-08,-0.01177,,,1.32E-08,-0.0118,,,
9.55E-09,-0.001538,1.55E-08,-0.001541,,,1.55E-08,-0.00128,,,1.55E-08,-5.69E-05,,,1.55E-08,-0.01177,,,1.55E-08,-0.0118,,,
