Ix_med,Iz_med
-1.00E-08,-0.00529
-1.07E-08,-0.00527
-1.15E-08,-0.00527
-1.23E-08,-0.00526
-1.32E-08,-0.00526
-1.41E-08,-0.00526
-1.52E-08,-0.00526
-1.63E-08,-0.00526
-1.74E-08,-0.00526
-1.87E-08,-0.00525
-2.00E-08,-0.00525
-2.15E-08,-0.00525
-2.30E-08,-0.00525
-2.47E-08,-0.00524
-2.64E-08,-0.00524
-2.83E-08,-0.00524
-3.04E-08,-0.00524
-3.26E-08,-0.00524
-3.49E-08,-0.00523
-3.74E-08,-0.00523
-4.01E-08,-0.00523
-4.30E-08,-0.00523
-4.61E-08,-0.00523
-4.94E-08,-0.00523
-5.29E-08,-0.00523
-5.67E-08,-0.00523
-6.08E-08,-0.00523
-6.52E-08,-0.00522
-6.99E-08,-0.00522
-7.49E-08,-0.00521
-8.03E-08,-0.00521
-8.60E-08,-0.00521
-9.22E-08,-0.0052
-9.88E-08,-0.0052
-1.06E-07,-0.00519
-1.14E-07,-0.00519
-1.22E-07,-0.00519
-1.30E-07,-0.00518
-1.40E-07,-0.00518
-1.50E-07,-0.00517
-1.61E-07,-0.00517
-1.72E-07,-0.00516
-1.85E-07,-0.00516
-1.98E-07,-0.00515
-2.12E-07,-0.00514
-2.27E-07,-0.00513
-2.44E-07,-0.00513
-2.61E-07,-0.00512
-2.80E-07,-0.00511
-3.00E-07,-0.0051
-3.22E-07,-0.00509
-3.45E-07,-0.00508
-3.70E-07,-0.00507
-3.96E-07,-0.00506
-4.25E-07,-0.00505
-4.55E-07,-0.00503
-4.88E-07,-0.00503
-5.23E-07,-0.00501
-5.61E-07,-0.00499
-6.01E-07,-0.00498
-6.44E-07,-0.00496
-6.91E-07,-0.00494
-7.40E-07,-0.00492
-7.93E-07,-0.0049
-8.50E-07,-0.00487
-9.12E-07,-0.00485
-9.77E-07,-0.00482
-1.05E-06,-0.00479
-1.12E-06,-0.00476
-1.20E-06,-0.00473
-1.29E-06,-0.00469
-1.38E-06,-0.00466
-1.48E-06,-0.00462
-1.59E-06,-0.00458
-1.70E-06,-0.00453
-1.83E-06,-0.00448
-1.96E-06,-0.00443
-2.10E-06,-0.00437
-2.25E-06,-0.00431
-2.41E-06,-0.00426
-2.58E-06,-0.00419
-2.77E-06,-0.00413
-2.97E-06,-0.00407
-3.18E-06,-0.00399
-3.41E-06,-0.00392
-3.65E-06,-0.00384
-3.92E-06,-0.00376
-4.20E-06,-0.00368
-4.50E-06,-0.00359
-4.82E-06,-0.0035
-5.17E-06,-0.00341
-5.54E-06,-0.00331
-5.94E-06,-0.00321
-6.37E-06,-0.00311
-6.83E-06,-0.00301
-7.32E-06,-0.0029
-7.84E-06,-0.0028
-8.41E-06,-0.00269
-9.01E-06,-0.00258
-9.66E-06,-0.00248
-1.04E-05,-0.00237
-1.11E-05,-0.00226
-1.19E-05,-0.00215
-1.28E-05,-0.00205
-1.37E-05,-0.00195
-1.46E-05,-0.00185
-1.57E-05,-0.00175
-1.68E-05,-0.00166
-1.80E-05,-0.00157
-1.93E-05,-0.00148
-2.07E-05,-0.00139
-2.22E-05,-0.00131
-2.38E-05,-0.00123
-2.55E-05,-0.00116
-2.74E-05,-0.00109
-2.93E-05,-0.00102
-3.14E-05,-0.000966
-3.37E-05,-0.000907
-3.61E-05,-0.000851
-3.87E-05,-0.000798
-4.15E-05,-0.000748
-4.45E-05,-0.000701
-4.77E-05,-0.000656
-5.11E-05,-0.000614
-5.48E-05,-0.000574
-5.87E-05,-0.000537
-6.29E-05,-0.000502
-6.75E-05,-0.00047
-7.23E-05,-0.000439
-7.75E-05,-0.00041
-8.31E-05,-0.000384
-8.91E-05,-0.000359
-9.55E-05,-0.000335
-0.000102341,-0.000312
-0.000109699,-0.000292
-0.000117585,-0.000272
-0.000126038,-0.000254
-0.000135099,-0.000238
-0.000144812,-0.000222
-0.000155223,-0.000207
-0.000166382,-0.000193
-0.000178343,-0.00018
-0.000191164,-0.000168
-0.000204907,-0.000154
-0.000219639,-0.000144
-0.000235429,-0.000135
-0.000252354,-0.000126
-0.000270496,-0.000117
-0.000289942,-0.000109
-0.000310787,-0.000102
-0.000333129,-9.59E-05
-0.000357079,-8.96E-05
-0.000382749,-8.37E-05
-0.000410266,-7.80E-05
-0.00043976,-7.29E-05
-0.000471375,-6.80E-05
-0.000505263,-6.34E-05
-0.000541587,-5.93E-05
-0.000580523,-5.53E-05
-0.000622257,-5.16E-05
-0.000666992,-4.82E-05
-0.000714943,-4.49E-05
-0.000766341,-4.19E-05
-0.000821434,-3.91E-05
-0.000880488,-3.65E-05
-0.000943788,-3.40E-05
-0.001011638,-3.17E-05
-0.001084366,-2.95E-05
-0.001162322,-2.75E-05
-0.001245883,-2.57E-05
-0.001335452,-2.39E-05
-0.001431459,-2.23E-05
-0.001534368,-2.08E-05
-0.001644676,-1.93E-05
-0.001762914,-1.80E-05
-0.001889652,-1.68E-05
-0.002025502,-1.54E-05
-0.002171118,-1.43E-05
-0.002327202,-1.33E-05
-0.002494508,-1.24E-05
-0.002673842,-1.15E-05
-0.002866068,-1.08E-05
-0.003072113,-1.00E-05
-0.003292971,-9.15E-06
-0.003529707,-8.48E-06
-0.003783463,-7.87E-06
-0.004055461,-7.31E-06
-0.004347013,-6.79E-06
-0.004659526,-6.31E-06
-0.004994505,-5.83E-06
-0.005353567,-5.39E-06
-0.005738442,-4.99E-06
-0.006150986,-4.61E-06
-0.006593188,-4.27E-06
-0.007067181,-3.93E-06
-0.00757525,-3.63E-06
-0.008119845,-3.35E-06
-0.008703591,-3.08E-06
-0.009329304,-2.83E-06
-0.01,-2.59E-06
