Ix_small,Iz_small,,
-1.00E-08,-0.02042,,
-1.07E-08,-0.02042,,
-1.15E-08,-0.02042,,
-1.23E-08,-0.02042,,
-1.32E-08,-0.02042,,
-1.41E-08,-0.02042,,
-1.52E-08,-0.02042,,
-1.63E-08,-0.02042,,
-1.74E-08,-0.02042,,
-1.87E-08,-0.02042,,
-2.00E-08,-0.02042,,
-2.15E-08,-0.02042,,
-2.30E-08,-0.02042,,
-2.47E-08,-0.02042,,
-2.64E-08,-0.02042,,
-2.83E-08,-0.02042,,
-3.04E-08,-0.02042,,
-3.26E-08,-0.02042,,
-3.49E-08,-0.02042,,
-3.74E-08,-0.02042,,
-4.01E-08,-0.02042,,
-4.30E-08,-0.02042,,
-4.61E-08,-0.02042,,
-4.94E-08,-0.02042,,
-5.29E-08,-0.02042,,
-5.67E-08,-0.02042,,
-6.08E-08,-0.02042,,
-6.52E-08,-0.02042,,
-6.99E-08,-0.02042,,
-7.49E-08,-0.02042,,
-8.03E-08,-0.02042,,
-8.60E-08,-0.02042,,
-9.22E-08,-0.02042,,
-9.88E-08,-0.02042,,
-1.06E-07,-0.02042,,
-1.14E-07,-0.02042,,
-1.22E-07,-0.02042,,
-1.30E-07,-0.02042,,
-1.40E-07,-0.02042,,
-1.50E-07,-0.02042,,
-1.61E-07,-0.02042,,
-1.72E-07,-0.02042,,
-1.85E-07,-0.02042,,
-1.98E-07,-0.02042,,
-2.12E-07,-0.02042,,
-2.27E-07,-0.02042,,
-2.44E-07,-0.02042,,
-2.61E-07,-0.02042,,
-2.80E-07,-0.02042,,
-3.00E-07,-0.02042,,
-3.22E-07,-0.02042,,
-3.45E-07,-0.02042,,
-3.70E-07,-0.02042,,
-3.96E-07,-0.02042,,
-4.25E-07,-0.02042,,
-4.55E-07,-0.02042,,
-4.88E-07,-0.02042,,
-5.23E-07,-0.02042,,
-5.61E-07,-0.02042,,
-6.01E-07,-0.02042,,
-6.44E-07,-0.02042,,
-6.91E-07,-0.02042,,
-7.40E-07,-0.02042,,
-7.93E-07,-0.02042,,
-8.50E-07,-0.02042,,
-9.12E-07,-0.02042,,
-9.77E-07,-0.02042,,
-1.05E-06,-0.02042,,
-1.12E-06,-0.02042,,
-1.20E-06,-0.02042,,
-1.29E-06,-0.02042,,
-1.38E-06,-0.02042,,
-1.48E-06,-0.02042,,
-1.59E-06,-0.02042,,
-1.70E-06,-0.02042,,
-1.83E-06,-0.02042,,
-1.96E-06,-0.02042,,
-2.10E-06,-0.02042,,
-2.25E-06,-0.02042,,
-2.41E-06,-0.02042,,
-2.58E-06,-0.02042,,
-2.77E-06,-0.02042,,
-2.97E-06,-0.02042,,
-3.18E-06,-0.02042,,
-3.41E-06,-0.02042,,
-3.65E-06,-0.02042,,
-3.92E-06,-0.02042,,
-4.20E-06,-0.02042,,
-4.50E-06,-0.02042,,
-4.82E-06,-0.02042,,
-5.17E-06,-0.02042,,
-5.54E-06,-0.02042,,
-5.94E-06,-0.02042,,
-6.37E-06,-0.02042,,
-6.83E-06,-0.02042,,
-7.32E-06,-0.02042,,
-7.84E-06,-0.02042,,
-8.41E-06,-0.02042,,
-9.01E-06,-0.02042,,
-9.66E-06,-0.02042,,
