V_G, I_channel
5.0,0.001815
4.9825,0.001803
4.9675,0.001793
4.95,0.001781
4.9325,0.00177
4.9175,0.00176
4.9,0.001749
4.8825,0.001737
4.8675,0.001727
4.85,0.001716
4.8325,0.001705
4.8175,0.001695
4.8,0.001683
4.7825,0.001672
4.7675,0.001662
4.75,0.001651
4.7325,0.001639
4.7175,0.00163
4.7,0.001618
4.6825,0.001607
4.6675,0.001597
4.65,0.001586
4.6325,0.001575
4.6175,0.001565
4.6,0.001554
4.5825,0.001543
4.5675,0.001534
4.55,0.001522
4.5325,0.001511
4.5175,0.001502
4.5,0.001491
4.4825,0.00148
4.4675,0.00147
4.45,0.001459
4.4325,0.001449
4.4175,0.001439
4.4,0.001428
4.3825,0.001418
4.3675,0.001408
4.35,0.001398
4.3325,0.001387
4.3175,0.001378
4.3,0.001367
4.2825,0.001357
4.2675,0.001347
4.25,0.001337
4.2325,0.001326
4.2175,0.001317
4.2,0.001307
4.1825,0.001296
4.1675,0.001287
4.15,0.001277
4.1325,0.001266
4.1175,0.001257
4.1,0.001247
4.0825,0.001237
4.0675,0.001227
4.05,0.001217
4.0325,0.001207
4.0175,0.001198
4.0,0.001175
3.983,0.001165
3.967,0.001156
3.95,0.001146
3.933,0.001136
3.917,0.001127
3.9,0.001117
3.883,0.001108
3.867,0.001099
3.85,0.001089
3.833,0.00108
3.817,0.00107
3.8,0.001061
3.783,0.001051
3.767,0.001043
3.75,0.001033
3.733,0.001024
3.717,0.001015
3.7,0.001006
3.683,0.000997
3.667,0.000988
3.65,0.000978
3.633,0.000969
3.617,0.00096
3.6,0.000951
3.583,0.000942
3.567,0.000933
3.55,0.000924
3.533,0.000915
3.517,0.000906
3.5,0.000897
3.483,0.000888
3.467,0.00088
3.45,0.00087
3.433,0.000862
3.417,0.000853
3.4,0.000844
3.383,0.000835
3.367,0.000827
3.35,0.000818
3.333,0.00081
3.317,0.000801
3.3,0.000792
3.283,0.000784
3.267,0.000775
3.25,0.000766
3.233,0.000758
3.217,0.00075
3.2,0.000741
3.183,0.000733
3.167,0.000724
3.15,0.000716
3.133,0.000707
