V_G, I_channel
0.0,-5.1e-07
0.0165,-8.45e-08
0.0335,-6.25e-08
0.05,-5.11e-08
0.0665,-4.19e-08
0.0835,-3.88e-08
0.1,-3.42e-08
0.1165,-2.99e-08
0.1335,-3.14e-08
0.15,-2.68e-08
0.1665,-1.92e-08
0.1835,-2.03e-08
0.2,-1.73e-08
0.2165,-1.7e-08
0.2335,-1.66e-08
0.25,-1.61e-08
0.2665,-1.5e-08
0.2835,-1.52e-08
0.3,-1.51e-08
0.3165,-1.23e-08
0.3335,-1.17e-08
0.35,-1.56e-08
0.3665,-8.5e-09
0.3835,-1.49e-08
0.4,-1.17e-08
0.4165,-1.09e-08
0.4335,-1.15e-08
0.45,-1.22e-08
0.4665,-1.09e-08
0.4835,-1.1e-08
0.5,-1.09e-08
0.5165,-1.13e-08
0.5335,-1.36e-08
0.55,-1.26e-08
0.5665,-2.67e-08
0.5835,-3.39e-08
0.6,-5.14e-08
0.6165,-7.91e-08
0.6335,-1.282e-07
0.65,-1.929e-07
0.6665,-2.96e-07
0.6835,-4.37e-07
0.7,-6.32e-07
0.7165,-8.77e-07
0.7335,-1.222e-06
0.75,-1.64e-06
0.7665,-2.16e-06
0.7835,-2.83e-06
0.8,-3.62e-06
0.8165,-4.55e-06
0.8335,-5.65e-06
0.85,-6.84e-06
0.8665,-6.9e-06
0.8835,-7.68e-06
0.9,-8.48e-06
0.9165,-9.45e-06
0.9335,-1.056e-05
0.95,-1.176e-05
0.9665,-1.287e-05
0.9835,-1.321e-05
1.0,-1.332e-05
1.0165,-1.336e-05
1.0335,-1.337e-05
1.05,-1.337e-05
1.0665,-1.338e-05
1.0835,-1.338e-05
1.1,-1.338e-05
1.1165,-1.338e-05
1.1335,-1.338e-05
1.15,-1.338e-05
1.1665,-1.338e-05
1.1835,-1.338e-05
1.2,-1.338e-05
1.2165,-1.338e-05
1.2335,-1.338e-05
1.25,-1.338e-05
1.2665,-1.338e-05
1.2835,-1.339e-05
1.3,-1.339e-05
1.3165,-1.338e-05
1.3335,-1.338e-05
1.35,-1.338e-05
1.3665,-1.338e-05
