V_S, I_channel
5.0,2.92e-05
4.9525,2.85e-05
4.9075,2.8e-05
4.86,2.75e-05
4.815,2.7e-05
4.7675,2.66e-05
4.72,2.61e-05
4.675,2.57e-05
4.6275,2.52e-05
4.5825,2.48e-05
4.535,2.43e-05
4.49,2.39e-05
4.4425,2.35e-05
4.395,2.31e-05
4.35,2.27e-05
4.3025,2.23e-05
4.2575,2.19e-05
4.21,2.15e-05
4.1625,2.11e-05
4.1175,2.07e-05
4.07,2.03e-05
4.025,1.99e-05
3.978,1.94e-05
3.931,1.9e-05
3.885,1.87e-05
3.838,1.83e-05
3.792,1.8e-05
3.745,1.76e-05
3.699,1.73e-05
3.653,1.7e-05
3.606,1.66e-05
3.56,1.63e-05
3.513,1.59e-05
3.467,1.56e-05
3.42,1.53e-05
3.374,1.5e-05
3.327,1.46e-05
3.281,1.44e-05
3.234,1.4e-05
3.188,1.37e-05
3.141,1.34e-05
3.095,1.31e-05
3.048,1.28e-05
3.002,1.25e-05
2.956,1.23e-05
2.909,1.2e-05
2.863,1.17e-05
2.816,1.14e-05
2.77,1.133e-05
2.723,1.105e-05
2.677,1.078e-05
2.63,1.051e-05
2.584,1.025e-05
2.537,1e-05
2.491,9.74e-06
2.444,9.49e-06
2.398,9.24e-06
2.352,9e-06
2.305,8.75e-06
2.259,8.51e-06
2.212,8.27e-06
2.166,8.04e-06
2.119,7.8e-06
2.073,7.58e-06
2.026,7.36e-06
1.98,7.14e-06
1.9335,6.92e-06
1.887,6.7e-06
1.8405,6.5e-06
1.794,6.29e-06
1.7475,6.07e-06
1.701,5.87e-06
1.6545,5.67e-06
1.608,5.47e-06
1.5615,5.27e-06
1.515,5.07e-06
1.4685,4.87e-06
1.422,4.68e-06
1.376,4.5e-06
1.3295,4.31e-06
1.283,4.13e-06
1.2365,3.95e-06
1.19,3.77e-06
1.1435,3.59e-06
1.097,3.42e-06
1.0505,3.25e-06
1.004,3.08e-06
0.9575,2.91e-06
0.911,2.75e-06
0.8645,2.59e-06
0.818,2.43e-06
0.7715,2.27e-06
0.7255,2.12e-06
0.679,1.96e-06
0.6325,1.862e-06
0.586,1.708e-06
0.5395,1.557e-06
0.493,1.41e-06
0.4465,1.266e-06
0.4,1.124e-06
0.375,1.055e-06
0.371,1.056e-06
0.3675,1.051e-06
0.3635,1.043e-06
0.36,1.034e-06
0.356,1.025e-06
0.3525,1.015e-06
0.3485,1.005e-06
0.3445,9.93e-07
0.341,9.83e-07
0.337,9.72e-07
0.3335,9.63e-07
0.3295,9.51e-07
0.326,9.42e-07
0.322,9.29e-07
0.318,9.18e-07
0.3145,9.08e-07
0.3105,8.97e-07
0.307,8.85e-07
0.303,8.73e-07
0.299,8.62e-07
0.2955,8.53e-07
0.2915,8.4e-07
0.288,8.3e-07
0.284,8.19e-07
0.2805,8.08e-07
0.2765,7.96e-07
0.2725,7.86e-07
0.269,7.75e-07
0.265,7.63e-07
0.2615,7.54e-07
0.2575,7.4e-07
0.254,7.3e-07
0.25,7.19e-07
0.246,7.07e-07
0.2425,6.97e-07
0.2385,6.86e-07
0.235,6.75e-07
0.231,6.64e-07
0.2275,6.52e-07
0.2235,6.42e-07
0.2195,6.3e-07
0.216,6.21e-07
0.212,6.09e-07
0.2085,5.98e-07
0.2045,5.87e-07
0.201,5.77e-07
0.197,5.65e-07
0.193,5.53e-07
0.1895,5.43e-07
0.1855,5.31e-07
0.182,5.2e-07
0.178,5.1e-07
0.174,4.98e-07
0.1705,4.89e-07
0.1665,4.77e-07
0.163,4.67e-07
0.159,4.55e-07
0.1555,4.45e-07
0.1515,4.34e-07
0.1475,4.22e-07
0.144,4.12e-07
0.14,4e-07
0.1365,3.9e-07
0.1325,3.79e-07
0.129,3.69e-07
0.125,3.57e-07
0.121,3.46e-07
0.1175,3.36e-07
0.1135,3.25e-07
0.11,3.14e-07
0.106,3.03e-07
0.1025,2.93e-07
0.0985,2.81e-07
0.0945,2.71e-07
0.091,2.61e-07
0.087,2.49e-07
0.0835,2.39e-07
0.0795,2.28e-07
0.076,2.18e-07
0.072,2.06e-07
0.068,1.948e-07
0.0645,1.861e-07
0.0605,1.742e-07
0.057,1.651e-07
0.053,1.529e-07
0.049,1.419e-07
0.0455,1.324e-07
0.0415,1.206e-07
0.038,1.106e-07
0.034,9.88e-08
0.0305,8.91e-08
0.0265,7.66e-08
0.0225,6.64e-08
0.019,5.66e-08
0.015,4.46e-08
0.0115,3.48e-08
0.0075,2.32e-08
0.004,1.29e-08
-0.0,1.9e-09
