V_S, I_channel0.0
5,0.00553
4.9675,0.00543
4.9325,0.00534
4.9,0.00525
4.8675,0.00516
4.8325,0.00507
4.8,0.00499
4.7675,0.0049
4.7325,0.00482
4.7,0.00473
4.6675,0.00464
4.6325,0.00456
4.6,0.00447
4.5675,0.00439
4.5325,0.00431
4.5,0.00422
4.4675,0.00414
4.4325,0.00406
4.4,0.00398
4.3675,0.0039
4.3325,0.00382
4.3,0.00374
4.2675,0.00366
4.2325,0.00358
4.2,0.00351
4.1675,0.00343
4.1325,0.00336
4.1,0.00328
4.0675,0.00321
4.0325,0.00313
4,0.00306
3.967,0.00299
3.933,0.00292
3.9,0.00284
3.867,0.00277
3.833,0.0027
3.8,0.00264
3.767,0.00257
3.733,0.0025
3.7,0.00244
3.667,0.00237
3.633,0.0023
3.6,0.00224
3.567,0.00218
3.533,0.00212
3.5,0.00205
3.467,0.00199
3.433,0.00193
3.4,0.00187
3.367,0.00181
3.333,0.00175
3.3,0.00169
3.267,0.00164
3.233,0.00158
3.2,0.00153
3.167,0.00147
3.133,0.00142
3.1,0.00137
3.067,0.00132
3.033,0.00126
3,0.00121
2.967,0.00116
2.933,0.00111
2.9,0.00106
2.867,0.00101
2.833,0.00096
2.8,0.00092
2.767,0.00087
2.733,0.00083
2.7,0.00079
2.667,0.00075
2.633,0.00071
2.6,0.00067
2.567,0.00063
2.533,0.0006
2.5,0.00056
2.467,0.00052
2.433,0.00049
2.4,0.00046
2.367,0.00042
2.333,0.00039
2.3,0.00037
2.267,0.00034
2.233,0.00031
2.2,0.00028
2.167,0.00026
2.133,0.00023
2.1,0.00021
2.067,0.00019
2.033,0.00017
2,0.00015
1.9665,0.00013
1.9335,0.00011
1.9,9.00E-05
1.8665,8.00E-05
1.8335,7.00E-05
1.8,6.00E-05
1.7665,5.00E-05
1.7335,4.00E-05
1.7,3.00E-05
1.6665,3.00E-05
1.6335,2.00E-05
1.6,1.00E-05
1.5665,2.00E-05
1.5335,1.00E-05
1.5,-1.00E-05
1.4665,1.00E-05
1.4335,2.00E-05
1.4,2.00E-05
1.3665,2.00E-05
1.3335,2.00E-05
1.3,2.00E-05
1.2665,2.00E-05
1.2335,2.00E-05
1.2,2.00E-05
1.1665,2.00E-05
1.1335,2.00E-05
1.1,2.00E-05
1.0665,2.00E-05
1.0335,2.00E-05
1,3.00E-05
0.9665,1.00E-05
0.9335,1.00E-05
0.9,1.00E-05
0.8665,1.00E-05
0.8335,1.00E-05
0.8,1.00E-05
0.7665,1.00E-05
0.7335,1.00E-05
0.7,1.00E-05
0.6665,1.00E-05
0.6335,1.00E-05
0.6,1.00E-05
0.5665,1.00E-05
0.5335,1.00E-05
0.5,1.00E-05
0.4665,1.00E-05
0.4335,1.00E-05
0.4,1.00E-05
0.3665,1.00E-05
0.3335,1.00E-05
0.3,1.00E-05
0.2665,1.00E-05
0.2335,1.00E-05
0.2,1.00E-05
0.1665,1.00E-05
0.1335,1.00E-05
0.1,1.00E-05
0.0665,1.00E-05
0.0335,1.00E-05
