V_DS, I_channel
0.0,-4.45e-07
0.0335,1.269e-06
0.0665,2.11e-06
0.1,2.43e-06
0.1335,2.55e-06
0.1665,2.59e-06
0.2,2.62e-06
0.2335,2.64e-06
0.2665,2.65e-06
0.3,2.67e-06
0.3335,2.68e-06
0.3665,2.69e-06
0.4,2.7e-06
0.4335,2.7e-06
0.4665,2.71e-06
0.5,2.71e-06
0.5335,2.71e-06
0.5665,2.71e-06
0.6,2.71e-06
0.6335,2.71e-06
0.6665,2.72e-06
0.7,2.72e-06
0.7335,2.72e-06
0.7665,2.72e-06
0.8,2.72e-06
0.8335,2.72e-06
0.8665,2.72e-06
0.9,2.72e-06
0.9335,2.72e-06
0.9665,2.73e-06
1.0,2.73e-06
1.0335,2.73e-06
1.0665,2.73e-06
1.1,2.73e-06
1.1335,2.73e-06
1.1665,2.73e-06
1.2,2.73e-06
1.2335,2.73e-06
1.2665,2.74e-06
1.3,2.74e-06
1.3335,2.74e-06
1.3665,2.74e-06
1.4,2.74e-06
1.4335,2.75e-06
1.4665,2.75e-06
1.5,2.75e-06
1.5335,2.75e-06
1.5665,2.75e-06
1.6,2.75e-06
1.6335,2.75e-06
1.6665,2.75e-06
1.7,2.76e-06
1.7335,2.76e-06
1.7665,2.76e-06
1.8,2.76e-06
1.8335,2.76e-06
1.8665,2.77e-06
1.9,2.77e-06
1.9335,2.77e-06
1.9665,2.77e-06
2.0,2.78e-06
2.033,2.78e-06
2.067,2.78e-06
2.1,2.78e-06
2.133,2.78e-06
2.167,2.79e-06
2.2,2.79e-06
2.233,2.79e-06
2.267,2.79e-06
2.3,2.8e-06
2.333,2.8e-06
2.367,2.8e-06
2.4,2.81e-06
2.433,2.81e-06
2.467,2.81e-06
2.5,2.82e-06
2.533,2.81e-06
2.567,2.82e-06
2.6,2.82e-06
2.633,2.83e-06
2.667,2.83e-06
2.7,2.83e-06
2.733,2.84e-06
2.767,2.84e-06
2.8,2.84e-06
2.833,2.85e-06
2.867,2.85e-06
2.9,2.86e-06
2.933,2.85e-06
2.967,2.86e-06
3.0,2.87e-06
3.033,2.87e-06
3.067,2.87e-06
3.1,2.88e-06
3.133,2.88e-06
3.167,2.89e-06
3.2,2.89e-06
3.233,2.89e-06
3.267,2.89e-06
3.3,2.9e-06
3.333,2.91e-06
3.367,2.91e-06
3.4,2.91e-06
3.433,2.92e-06
3.467,2.93e-06
3.5,2.92e-06
3.533,2.94e-06
3.567,2.94e-06
3.6,2.94e-06
3.633,2.95e-06
3.667,2.95e-06
3.7,2.96e-06
3.733,2.96e-06
3.767,2.97e-06
3.8,2.97e-06
3.833,2.98e-06
3.867,2.99e-06
3.9,2.99e-06
3.933,2.99e-06
3.967,3e-06
4.0,3.01e-06
4.0325,3.01e-06
4.0675,3.01e-06
4.1,3.02e-06
4.1325,3.02e-06
4.1675,3.03e-06
4.2,3.04e-06
4.2325,3.04e-06
4.2675,3.05e-06
4.3,3.05e-06
4.3325,3.07e-06
4.3675,3.07e-06
4.4,3.08e-06
4.4325,3.08e-06
4.4675,3.09e-06
4.5,3.09e-06
4.5325,3.11e-06
4.5675,3.11e-06
4.6,3.12e-06
4.6325,3.12e-06
4.6675,3.14e-06
4.7,3.14e-06
4.7325,3.14e-06
4.7675,3.16e-06
4.8,3.16e-06
4.8325,3.17e-06
4.8675,3.17e-06
4.9,3.19e-06
4.9325,3.2e-06
4.9675,3.2e-06
5.0,3.21e-06
