V_DS, I_channel
-5.0,-0.001845
-4.9675,-0.001842
-4.9325,-0.001839
-4.9,-0.001837
-4.8675,-0.001834
-4.8325,-0.001832
-4.8,-0.001829
-4.7675,-0.001826
-4.7325,-0.001824
-4.7,-0.001821
-4.6675,-0.001818
-4.6325,-0.001815
-4.6,-0.001812
-4.5675,-0.001808
-4.5325,-0.001805
-4.5,-0.001801
-4.4675,-0.001798
-4.4325,-0.001794
-4.4,-0.00179
-4.3675,-0.001785
-4.3325,-0.00178
-4.3,-0.001774
-4.2675,-0.001768
-4.2325,-0.00176
-4.2,-0.001753
-4.1675,-0.001745
-4.1325,-0.001735
-4.1,-0.001725
-4.0675,-0.001714
-4.0325,-0.001702
-4.0,-0.001683
-3.967,-0.001669
-3.933,-0.001653
-3.9,-0.001637
-3.867,-0.001619
-3.833,-0.001599
-3.8,-0.001576
-3.767,-0.001549
-3.733,-0.001522
-3.7,-0.001495
-3.667,-0.00147
-3.633,-0.00145
-3.6,-0.001434
-3.567,-0.001418
-3.533,-0.001403
-3.5,-0.001387
-3.467,-0.001371
-3.433,-0.001354
-3.4,-0.001337
-3.367,-0.00132
-3.333,-0.0013
-3.3,-0.001281
-3.267,-0.00126
-3.233,-0.001237
-3.2,-0.001214
-3.167,-0.001191
-3.133,-0.001165
-3.1,-0.00114
-3.067,-0.001113
-3.033,-0.001084
-3.0,-0.001055
-2.967,-0.001025
-2.933,-0.000993
-2.9,-0.000961
-2.867,-0.000929
-2.833,-0.000894
-2.8,-0.00086
-2.767,-0.000824
-2.733,-0.000786
-2.7,-0.000748
-2.667,-0.000709
-2.633,-0.000668
-2.6,-0.000628
-2.567,-0.000586
-2.533,-0.000542
-2.5,-0.000499
-2.467,-0.000455
-2.433,-0.000408
-2.4,-0.00036
-2.367,-0.000313
-2.333,-0.000263
-2.3,-0.000214
-2.267,-0.000165
-2.233,-0.000113
-2.2,-6.58e-05
-2.167,-1.35e-05
-2.133,4.06e-05
-2.1,9.31e-05
-2.067,0.0001468
-2.033,0.000203
-2.0,0.000266
-1.9665,0.000322
-1.9335,0.000378
-1.9,0.000439
-1.8665,0.000496
-1.8335,0.000555
-1.8,0.000614
-1.7665,0.000675
-1.7335,0.000737
-1.7,0.000797
-1.6665,0.000861
-1.6335,0.000923
-1.6,0.00099
-1.5665,0.001054
-1.5335,0.001119
-1.5,0.001188
-1.4665,0.001253
-1.4335,0.001319
-1.4,0.001387
-1.3665,0.001454
-1.3335,0.001522
-1.3,0.00159
-1.2665,0.00166
-1.2335,0.001729
-1.2,0.001798
-1.1665,0.001871
-1.1335,0.00194
-1.1,0.00206
-1.0665,0.00213
-1.0335,0.00221
-1.0,0.00228
-0.9665,0.00235
-0.9335,0.00243
-0.9,0.0025
-0.8665,0.00258
-0.8335,0.00265
-0.8,0.00273
-0.7665,0.0028
-0.7335,0.00288
-0.7,0.00296
-0.6665,0.00304
-0.6335,0.00312
-0.6,0.0032
-0.5665,0.00328
-0.5335,0.00337
-0.5,0.00345
-0.4665,0.00354
-0.4335,0.00363
-0.4,0.00372
-0.3665,0.00381
-0.3335,0.00391
-0.3,0.00401
-0.2665,0.00412
-0.2335,0.00423
-0.2,0.00434
-0.1665,0.00446
-0.1335,0.00458
-0.1,0.0047
-0.0665,0.00482
-0.0335,0.00495
0.0,0.00508
