V_DS, I_channel
-5.0,-3.42e-05
-4.9675,-3.33e-05
-4.9325,-3.23e-05
-4.9,-3.14e-05
-4.8675,-3.06e-05
-4.8325,-2.97e-05
-4.8,-2.9e-05
-4.7675,-2.83e-05
-4.7325,-2.75e-05
-4.7,-2.69e-05
-4.6675,-2.62e-05
-4.6325,-2.55e-05
-4.6,-2.49e-05
-4.5675,-2.44e-05
-4.5325,-2.38e-05
-4.5,-2.32e-05
-4.4675,-2.27e-05
-4.4325,-2.21e-05
-4.4,-2.16e-05
-4.3675,-2.11e-05
-4.3325,-2.07e-05
-4.3,-2.02e-05
-4.2675,-1.98e-05
-4.2325,-1.93e-05
-4.2,-1.89e-05
-4.1675,-1.85e-05
-4.1325,-1.8e-05
-4.1,-1.76e-05
-4.0675,-1.72e-05
-4.0325,-1.68e-05
-4.0,-1.63e-05
-3.967,-1.59e-05
-3.933,-1.55e-05
-3.9,-1.52e-05
-3.867,-1.49e-05
-3.833,-1.45e-05
-3.8,-1.42e-05
-3.767,-1.39e-05
-3.733,-1.36e-05
-3.7,-1.33e-05
-3.667,-1.3e-05
-3.633,-1.27e-05
-3.6,-1.24e-05
-3.567,-1.22e-05
-3.533,-1.19e-05
-3.5,-1.16e-05
-3.467,-1.14e-05
-3.433,-1.11e-05
-3.4,-1.103e-05
-3.367,-1.079e-05
-3.333,-1.054e-05
-3.3,-1.031e-05
-3.267,-1.006e-05
-3.233,-9.83e-06
-3.2,-9.6e-06
-3.167,-9.38e-06
-3.133,-9.15e-06
-3.1,-8.96e-06
-3.067,-8.74e-06
-3.033,-8.53e-06
-3.0,-8.33e-06
-2.967,-8.12e-06
-2.933,-7.93e-06
-2.9,-7.74e-06
-2.867,-7.56e-06
-2.833,-7.38e-06
-2.8,-7.2e-06
-2.767,-7.03e-06
-2.733,-6.86e-06
-2.7,-6.69e-06
-2.667,-6.51e-06
-2.633,-6.35e-06
-2.6,-6.19e-06
-2.567,-6.04e-06
-2.533,-5.87e-06
-2.5,-5.73e-06
-2.467,-5.58e-06
-2.433,-5.43e-06
-2.4,-5.29e-06
-2.367,-5.14e-06
-2.333,-5e-06
-2.3,-4.86e-06
-2.267,-4.73e-06
-2.233,-4.6e-06
-2.2,-4.47e-06
-2.167,-4.35e-06
-2.133,-4.21e-06
-2.1,-4.09e-06
-2.067,-3.97e-06
-2.033,-3.85e-06
-2.0,-3.73e-06
-1.9665,-3.62e-06
-1.9335,-3.5e-06
-1.9,-3.39e-06
-1.8665,-3.29e-06
-1.8335,-3.18e-06
-1.8,-3.07e-06
-1.7665,-2.97e-06
-1.7335,-2.86e-06
-1.7,-2.76e-06
-1.6665,-2.66e-06
-1.6335,-2.56e-06
-1.6,-2.46e-06
-1.5665,-2.36e-06
-1.5335,-2.27e-06
-1.5,-2.17e-06
-1.4665,-2.08e-06
-1.4335,-1.98e-06
-1.4,-1.89e-06
-1.3665,-1.8e-06
-1.3335,-1.71e-06
-1.3,-1.63e-06
-1.2665,-1.589e-06
-1.2335,-1.5e-06
-1.2,-1.412e-06
-1.1665,-1.328e-06
-1.1335,-1.242e-06
-1.1,-1.158e-06
-1.0665,-1.075e-06
-1.0335,-9.96e-07
-1.0,-9.12e-07
-0.9665,-8.31e-07
-0.9335,-7.52e-07
-0.9,-2.042e-07
-0.8665,-2.042e-07
-0.8335,-2.042e-07
-0.8,-2.042e-07
-0.7665,-2.042e-07
-0.7335,-2.042e-07
-0.7,-1.935e-07
-0.6665,-1.134e-07
-0.6335,-3.11e-08
-0.6,6.88e-08
-0.5665,1.62e-07
-0.5335,1.91e-07
-0.5,2.74e-07
-0.4665,3.57e-07
-0.4335,4.4e-07
-0.4,5.28e-07
-0.3665,6.21e-07
-0.3335,7.18e-07
-0.3,8.28e-07
-0.2665,9.54e-07
-0.2335,1.1e-06
-0.2,1.288e-06
-0.1665,1.528e-06
-0.1335,1.849e-06
-0.1,2.34e-06
-0.0665,2.94e-06
-0.0335,3.82e-06
0.0,5.06e-06
