V_DS, I_channel0.0,-1.00E-10
0.0085,8.00E-10,
0.0175,1.40E-09,
0.026,2.30E-09,
0.0345,8.00E-09,
0.0435,4.53E-08,
0.052,2.05E-07,
0.0605,1.68E-06,
0.0695,5.45E-06,
0.078,9.94E-06,
0.0865,1.57E-05,
0.0955,2.05E-05,
0.104,3.30E-05,
0.1125,4.19E-05,
0.1215,5.19E-05,
0.13,6.26E-05,
0.1385,7.41E-05,
0.1475,8.66E-05,
0.156,9.96E-05,
0.1645,0.0001132,
0.1735,0.0001279,
0.182,0.000143,
0.1905,0.0001586,
0.1995,0.000175,
0.208,0.0001917,
0.2165,0.000217,
0.2255,0.000235,
0.234,0.000254,
0.2425,0.000272,
0.2515,0.000292,
0.26,0.000312,
0.2685,0.000333,
0.2775,0.000355,
0.286,0.000376,
0.2945,0.000398,
0.3035,0.000421,
0.312,0.000444,
0.3205,0.000468,
0.3295,0.000492,
0.338,0.000516,
0.3465,0.00054,
0.3555,0.000565,
0.364,0.00059,
0.3725,0.000616,
0.3815,0.000642,
0.39,0.000669,
0.3985,0.000696,
0.4075,0.000724,
0.416,0.000751,
0.4245,0.000779,
0.4335,0.000807,
0.442,0.000836,
0.4505,0.000865,
0.4595,0.000895,
0.468,0.000924,
0.4765,0.000954,
0.4855,0.000984,
0.494,0.001015,
0.5025,0.001045,
0.5115,0.001077,
0.52,0.001108,
0.5285,0.00114,
0.5375,0.001173,
0.546,0.001205,
0.5545,0.001237,
0.5635,0.001271,
0.572,0.0013,
0.5805,0.001317,
0.5895,0.001334,
0.598,0.001351,
0.6065,0.001367,
0.6155,0.001385,
0.624,0.001402,
0.6325,0.001418,
0.6415,0.001436,
0.65,0.001453,
0.6585,0.00147,
0.6675,0.001487,
0.676,0.001504,
0.6845,0.00152,
0.6935,0.001537,
0.702,0.001553,
0.7105,0.001569,
0.7195,0.001586,
0.728,0.001602,
0.7365,0.001618,
0.7455,0.001634,
0.754,0.00165,
0.7625,0.001665,
0.7715,0.001682,
0.78,0.001697,
0.7885,0.001713,
0.7975,0.001729,
0.806,0.001744,
0.8145,0.00176,
0.8235,0.001775,
0.832,0.00179,
0.8405,0.001805,
0.8495,0.00182,
0.858,0.001835,
0.8665,0.001849,
0.8755,0.001865,
0.884,0.001879,
0.8925,0.001893,
0.9015,0.001909,
0.91,0.001924,
0.9185,0.001938,
0.9275,0.001953,
0.936,0.001968,
0.9445,0.001982,
0.9535,0.001997,
0.962,0.00204,
0.9705,0.00205,
0.9795,0.00207,
0.988,0.00208,
0.9965,0.00209,
1.0055,0.00211,
1.014,0.00212,
1.0225,0.00213,
1.0315,0.00215,
1.04,0.00216,
1.0485,0.00217,
1.0575,0.00219,
1.066,0.0022,
1.0745,0.00221,
1.0835,0.00223,
1.092,0.00224,
1.1005,0.00225,
1.1095,0.00227,
1.118,0.00228,
1.1265,0.00229,
1.1355,0.0023,
1.144,0.00232,
1.1525,0.00233,
1.1615,0.00234,
1.17,0.00235,
1.1785,0.00237,
1.1875,0.00238,
1.196,0.00239,
1.2045,0.0024,
1.2135,0.00242,
1.222,0.00243,
1.2305,0.00244,
1.2395,0.00245,
1.248,0.00246,
1.2565,0.00248,
1.2655,0.00249,
1.274,0.0025,
1.2825,0.00251,
1.2915,0.00252,
1.3,0.00253,
