V_DS, I_channel0.0,-1.00E-10
0.0085,8.00E-10,
0.0175,1.60E-09,
0.026,2.90E-09,
0.0345,1.43E-08,
0.0435,8.60E-08,
0.052,2.05E-07,
0.0605,1.00E-06,
0.0695,1.06E-06,
0.078,1.10E-06,
0.0865,1.13E-06,
0.0955,1.16E-06,
0.104,1.18E-06,
0.1125,1.19E-06,
0.1215,1.20E-06,
0.13,1.21E-06,
0.1385,1.21E-06,
0.1475,1.22E-06,
0.156,1.22E-06,
0.1645,1.22E-06,
0.1735,1.23E-06,
0.182,1.23E-06,
0.1905,1.23E-06,
0.1995,1.23E-06,
0.208,1.23E-06,
0.2165,1.23E-06,
0.2255,1.24E-06,
0.234,1.24E-06,
0.2425,1.24E-06,
0.2515,1.24E-06,
0.26,1.24E-06,
0.2685,1.24E-06,
0.2775,1.24E-06,
0.286,1.24E-06,
0.2945,1.24E-06,
0.3035,1.24E-06,
0.312,1.24E-06,
0.3205,1.24E-06,
0.3295,1.24E-06,
0.338,1.25E-06,
0.3465,1.25E-06,
0.3555,1.25E-06,
0.364,1.25E-06,
0.3725,1.25E-06,
0.3815,1.25E-06,
0.39,1.25E-06,
0.3985,1.25E-06,
0.4075,1.25E-06,
0.416,1.25E-06,
0.4245,1.25E-06,
0.4335,1.25E-06,
0.442,1.25E-06,
0.4505,1.25E-06,
0.4595,1.25E-06,
0.468,1.25E-06,
0.4765,1.25E-06,
0.4855,1.25E-06,
0.494,1.25E-06,
0.5025,1.25E-06,
0.5115,1.26E-06,
0.52,1.26E-06,
0.5285,1.26E-06,
0.5375,1.26E-06,
0.546,1.26E-06,
0.5545,1.26E-06,
0.5635,1.26E-06,
0.572,1.26E-06,
0.5805,1.26E-06,
0.5895,1.26E-06,
0.598,1.26E-06,
0.6065,1.26E-06,
0.6155,1.26E-06,
0.624,1.26E-06,
0.6325,1.26E-06,
0.6415,1.26E-06,
0.65,1.26E-06,
0.6585,1.26E-06,
0.6675,1.26E-06,
0.676,1.26E-06,
0.6845,1.26E-06,
0.6935,1.26E-06,
0.702,1.26E-06,
0.7105,1.27E-06,
0.7195,1.27E-06,
0.728,1.27E-06,
0.7365,1.27E-06,
0.7455,1.27E-06,
0.754,1.27E-06,
0.7625,1.27E-06,
0.7715,1.27E-06,
0.78,1.27E-06,
0.7885,1.27E-06,
0.7975,1.27E-06,
0.806,1.27E-06,
0.8145,1.27E-06,
0.8235,1.27E-06,
0.832,1.27E-06,
0.8405,1.27E-06,
0.8495,1.27E-06,
0.858,1.27E-06,
0.8665,1.27E-06,
0.8755,1.27E-06,
0.884,1.27E-06,
0.8925,1.27E-06,
0.9015,1.28E-06,
0.91,1.27E-06,
0.9185,1.27E-06,
0.9275,1.28E-06,
0.936,1.28E-06,
0.9445,1.28E-06,
0.9535,1.28E-06,
0.962,1.28E-06,
0.9705,1.28E-06,
0.9795,1.28E-06,
0.988,1.28E-06,
0.9965,1.28E-06,
1.0055,1.28E-06,
1.014,1.28E-06,
1.0225,1.28E-06,
1.0315,1.28E-06,
1.04,1.28E-06,
1.0485,1.28E-06,
1.0575,1.28E-06,
1.066,1.28E-06,
1.0745,1.28E-06,
1.0835,1.28E-06,
1.092,1.28E-06,
1.1005,1.28E-06,
1.1095,1.28E-06,
1.118,1.28E-06,
1.1265,1.28E-06,
1.1355,1.29E-06,
1.144,1.29E-06,
1.1525,1.29E-06,
1.1615,1.29E-06,
1.17,1.29E-06,
1.1785,1.29E-06,
1.1875,1.29E-06,
1.196,1.29E-06,
1.2045,1.29E-06,
1.2135,1.29E-06,
1.222,1.29E-06,
1.2305,1.29E-06,
1.2395,1.29E-06,
1.248,1.29E-06,
1.2565,1.29E-06,
1.2655,1.29E-06,
1.274,1.29E-06,
1.2825,1.29E-06,
1.2915,1.29E-06,
1.3,1.29E-06,
