V_DS, I_channel
-5.0,-5e-07
-4.9675,-1.91e-07
-4.9325,-1.51e-07
-4.9,-1.23e-07
-4.8675,-1.08e-07
-4.8325,-9.5e-08
-4.8,-8.8e-08
-4.7675,-8.2e-08
-4.7325,-7.8e-08
-4.7,-6.8e-08
-4.6675,-7.1e-08
-4.6325,-7e-08
-4.6,-6.7e-08
-4.5675,-6.7e-08
-4.5325,-6.9e-08
-4.5,-6.5e-08
-4.4675,-6.2e-08
-4.4325,-6.2e-08
-4.4,-6.1e-08
-4.3675,-5.6e-08
-4.3325,-5.7e-08
-4.3,-5.3e-08
-4.2675,-5.8e-08
-4.2325,-5.5e-08
-4.2,-5.8e-08
-4.1675,-5.1e-08
-4.1325,-5.4e-08
-4.1,-5.7e-08
-4.0675,-5.1e-08
-4.0325,-5.2e-08
-4.0,-5.1e-08
-3.967,-5.1e-08
-3.933,-5.2e-08
-3.9,-5.1e-08
-3.867,-5.1e-08
-3.833,-5.1e-08
-3.8,-4.9e-08
-3.767,-5e-08
-3.733,-4.8e-08
-3.7,-4.8e-08
-3.667,-4.6e-08
-3.633,-4.5e-08
-3.6,-5.2e-08
-3.567,-4.7e-08
-3.533,-4.8e-08
-3.5,-4.9e-08
-3.467,-4.8e-08
-3.433,-4.7e-08
-3.4,-4.6e-08
-3.367,-4.9e-08
-3.333,-4.4e-08
-3.3,-4.6e-08
-3.267,-4.5e-08
-3.233,-4.2e-08
-3.2,-4.4e-08
-3.167,-4.1e-08
-3.133,-4.3e-08
-3.1,-4.5e-08
-3.067,-4e-08
-3.033,-4.3e-08
-3.0,-4.2e-08
-2.967,-4.2e-08
-2.933,-4e-08
-2.9,-4.1e-08
-2.867,-4.1e-08
-2.833,-4.1e-08
-2.8,-4.1e-08
-2.767,-4.1e-08
-2.733,-4e-08
-2.7,-4e-08
-2.667,-4.1e-08
-2.633,-3.8e-08
-2.6,-3.7e-08
-2.567,-4.1e-08
-2.533,-3.5e-08
-2.5,-4e-08
-2.467,-3.7e-08
-2.433,-3.8e-08
-2.4,-3.7e-08
-2.367,-3.6e-08
-2.333,-3.7e-08
-2.3,-3.6e-08
-2.267,-3.6e-08
-2.233,-3.4e-08
-2.2,-3.5e-08
-2.167,-3.4e-08
-2.133,-3.3e-08
-2.1,-3.3e-08
-2.067,-3.4e-08
-2.033,-3.3e-08
-2.0,-3.4e-08
-1.9665,-3.3e-08
-1.9335,-3.3e-08
-1.9,-3e-08
-1.8665,-3.2e-08
-1.8335,-3.3e-08
-1.8,-3.1e-08
-1.7665,-3.1e-08
-1.7335,-3.2e-08
-1.7,-3e-08
-1.6665,-3.1e-08
-1.6335,-3.1e-08
-1.6,-3e-08
-1.5665,-2.9e-08
-1.5335,-3e-08
-1.5,-2.7e-08
-1.4665,-2.9e-08
-1.4335,-2.8e-08
-1.4,-2.8e-08
-1.3665,-2.8e-08
-1.3335,-2.6e-08
-1.3,-2.8e-08
-1.2665,-2.6e-08
-1.2335,-2.7e-08
-1.2,-2.5e-08
-1.1665,-2.5e-08
-1.1335,-2.5e-08
-1.1,-2.8e-08
-1.0665,-2.3e-08
-1.0335,-2.3e-08
-1.0,-2.3e-08
-0.9665,-2.2e-08
-0.9335,-2.3e-08
-0.9,-2.2e-08
-0.8665,-2.3e-08
-0.8335,-2.1e-08
-0.8,-2.1e-08
-0.7665,-2.1e-08
-0.7335,-2.1e-08
-0.7,-2e-08
-0.6665,-2e-08
-0.6335,-2e-08
-0.6,-1.9e-08
-0.5665,-2e-08
-0.5335,-1.8e-08
-0.5,-1.8e-08
-0.4665,-1.8e-08
-0.4335,-1.7e-08
-0.4,-1.7e-08
-0.3665,-1.6e-08
-0.3335,-1.6e-08
-0.3,-1.6e-08
-0.2665,-1.5e-08
-0.2335,-1.5e-08
-0.2,-1.4e-08
-0.1665,-1.4e-08
-0.1335,-1.3e-08
-0.1,-1.2e-08
-0.0665,-8e-09
-0.0335,0.0
0.0,2.9e-08
