V_DS, I_channel
0.0,-0.0112
0.0335,-0.01118
0.0665,-0.01117
0.1,-0.01116
0.1335,-0.01116
0.1665,-0.01115
0.2,-0.01113
0.2335,-0.01113
0.2665,-0.01112
0.3,-0.01111
0.3335,-0.0111
0.3665,-0.01109
0.4,-0.01108
0.4335,-0.01108
0.4665,-0.01107
0.5,-0.01106
0.5335,-0.01105
0.5665,-0.01104
0.6,-0.01103
0.6335,-0.01103
0.6665,-0.01102
0.7,-0.01101
0.7335,-0.011
0.7665,-0.011
0.8,-0.01099
0.8335,-0.01098
0.8665,-0.01097
0.9,-0.01096
0.9335,-0.01095
0.9665,-0.01095
1.0,-0.01093
1.0335,-0.01093
1.0665,-0.01092
1.1,-0.01091
1.1335,-0.0109
1.1665,-0.01089
1.2,-0.01089
1.2335,-0.01088
1.2665,-0.01087
1.3,-0.01086
1.3335,-0.01085
1.3665,-0.01084
1.4,-0.01084
1.4335,-0.01083
1.4665,-0.01082
1.5,-0.01081
1.5335,-0.0108
1.5665,-0.01079
1.6,-0.01078
1.6335,-0.01077
1.6665,-0.01077
1.7,-0.01076
1.7335,-0.01074
1.7665,-0.01073
1.8,-0.01073
1.8335,-0.01072
1.8665,-0.01071
1.9,-0.01069
1.9335,-0.01068
1.9665,-0.01067
2.0,-0.01066
2.033,-0.01065
2.067,-0.01064
2.1,-0.01063
2.133,-0.01062
2.167,-0.01061
2.2,-0.01059
2.233,-0.01058
2.267,-0.01056
2.3,-0.01055
2.333,-0.01053
2.367,-0.01052
2.4,-0.0105
2.433,-0.01048
2.467,-0.01046
2.5,-0.01044
2.533,-0.01041
2.567,-0.01038
2.6,-0.01035
2.633,-0.01031
2.667,-0.01027
2.7,-0.01022
2.733,-0.01017
2.767,-0.01012
2.8,-0.01006
2.833,-0.00999
2.867,-0.00992
2.9,-0.00984
2.933,-0.00976
2.967,-0.00967
3.0,-0.00958
3.033,-0.00948
3.067,-0.00937
3.1,-0.00927
3.133,-0.00915
3.167,-0.00903
3.2,-0.0089
3.233,-0.00878
3.267,-0.00864
3.3,-0.00849
3.333,-0.00833
3.367,-0.00815
3.4,-0.00797
3.433,-0.00777
3.467,-0.00757
3.5,-0.00734
3.533,-0.0071
3.567,-0.00684
3.6,-0.00655
3.633,-0.00626
3.667,-0.00592
3.7,-0.00556
3.733,-0.00518
3.767,-0.00477
3.8,-0.00433
3.833,-0.00384
3.867,-0.00331
3.9,-0.00274
3.933,-0.00215
3.967,-0.00147
4.0,0.001126
4.0325,0.001969
4.0675,0.00094
4.1,0.00177
4.1325,0.00265
4.1675,0.00368
4.2,0.00466
4.2325,0.00571
4.2675,0.00694
4.3,0.00822
4.3325,0.00963
4.3675,0.01125
4.4,0.01191
4.4325,0.01192
4.4675,0.01193
4.5,0.01194
4.5325,0.01194
4.5675,0.01195
4.6,0.01195
4.6325,0.01195
4.6675,0.01195
4.7,0.01196
4.7325,0.01196
4.7675,0.01196
4.8,0.01196
4.8325,0.01196
4.8675,0.01197
4.9,0.01197
4.9325,0.01197
4.9675,0.01197
5.0,0.01197
