V_DS, I_channel0.0,-0.0204
0.0335,-0.0204,
0.0665,-0.0204,
0.1,-0.0204,
0.1335,-0.0204,
0.1665,-0.0204,
0.2,-0.0204,
0.2335,-0.0204,
0.2665,-0.0204,
0.3,-0.0204,
0.3335,-0.0204,
0.3665,-0.0204,
0.4,-0.0204,
0.4335,-0.0204,
0.4665,-0.0204,
0.5,-0.0204,
0.5335,-0.0204,
0.5665,-0.0204,
0.6,-0.0204,
0.6335,-0.0204,
0.6665,-0.0204,
0.7,-0.0204,
0.7335,-0.0204,
0.7665,-0.0204,
0.8,-0.0204,
0.8335,-0.0204,
0.8665,-0.0204,
0.9,-0.0204,
0.9335,-0.0204,
0.9665,-0.0204,
1,-0.0204,
1.0335,-0.0204,
1.0665,-0.0204,
1.1,-0.0204,
1.1335,-0.0204,
1.1665,-0.0204,
1.2,-0.0204,
1.2335,-0.0204,
1.2665,-0.0204,
1.3,-0.0204,
1.3335,-0.0204,
1.3665,-0.0204,
1.4,-0.0204,
1.4335,-0.0204,
1.4665,-0.0204,
1.5,-0.0204,
1.5335,-0.0204,
1.5665,-0.0204,
1.6,-0.0204,
1.6335,-0.0204,
1.6665,-0.0204,
1.7,-0.0204,
1.7335,-0.0204,
1.7665,-0.0204,
1.8,-0.0204,
1.8335,-0.0204,
1.8665,-0.0204,
1.9,-0.0204,
1.9335,-0.0204,
1.9665,-0.0204,
2,-0.0204,
2.033,-0.0204,
2.067,-0.0204,
2.1,-0.0204,
2.133,-0.0204,
2.167,-0.01867,
2.2,-0.01655,
2.233,-0.01073,
2.267,-0.01071,
2.3,-0.01068,
2.333,-0.01065,
2.367,-0.01063,
2.4,-0.01061,
2.433,-0.01057,
2.467,-0.01055,
2.5,-0.01052,
2.533,-0.01048,
2.567,-0.01045,
2.6,-0.0104,
2.633,-0.01036,
2.667,-0.01031,
2.7,-0.01025,
2.733,-0.0102,
2.767,-0.01015,
2.8,-0.01008,
2.833,-0.01001,
2.867,-0.00993,
2.9,-0.00985,
2.933,-0.00976,
2.967,-0.00967,
3,-0.00957,
3.033,-0.00947,
3.067,-0.00937,
3.1,-0.00925,
3.133,-0.00913,
3.167,-0.009,
3.2,-0.00888,
3.233,-0.00874,
3.267,-0.0086,
3.3,-0.00844,
3.333,-0.00828,
3.367,-0.00809,
3.4,-0.0079,
3.433,-0.0077,
3.467,-0.00748,
3.5,-0.00725,
3.533,-0.007,
3.567,-0.00672,
3.6,-0.00643,
3.633,-0.00612,
3.667,-0.00576,
3.7,-0.0054,
3.733,-0.00501,
3.767,-0.00456,
3.8,-0.00409,
3.833,-0.0036,
3.867,-0.00304,
3.9,-0.00246,
3.933,-0.00182,
3.967,-0.00113,
4,0.001503,
4.0325,0.00049,
4.0675,0.00136,
4.1,0.00224,
4.1325,0.00315,
4.1675,0.0042,
4.2,0.00523,
4.2325,0.00635,
4.2675,0.00767,
4.3,0.00905,
4.3325,0.01052,
4.3675,0.01162,
4.4,0.01164,
4.4325,0.01166,
4.4675,0.01166,
4.5,0.01167,
4.5325,0.01167,
4.5675,0.01168,
4.6,0.01168,
4.6325,0.01168,
4.6675,0.01169,
4.7,0.01169,
4.7325,0.01169,
4.7675,0.01169,
4.8,0.0117,
4.8325,0.0117,
4.8675,0.0117,
4.9,0.01171,
4.9325,0.01171,
4.9675,0.01171,
5,0.01171,
