"V","I"
-5.0,-2.035e-06
-4.9,-0.000243
-4.8,-0.000237
-4.7,-0.000232
-4.6,-0.000227
-4.5,-0.000222
-4.4,-0.000217
-4.3,-0.000212
-4.2,-0.000207
-4.1,-0.000202
-4.0,-0.000196
-3.9,-0.000191
-3.8,-0.000186
-3.7,-0.000181
-3.6,-0.000176
-3.5,-0.000171
-3.4,-0.000166
-3.3,-0.000161
-3.2,-0.000156
-3.1,-0.000151
-3.0,-0.000146
-2.9,-0.000141
-2.8,-0.000136
-2.7,-0.000131
-2.6,-0.000126
-2.5,-0.000121
-2.4,-0.000116
-2.3,-0.000111
-2.2,-0.000106
-2.1,-0.0001056
-2.0,-0.0001005
-1.9,-9.56e-05
-1.8,-9.06e-05
-1.7,-8.56e-05
-1.6,-8.06e-05
-1.5,-7.55e-05
-1.4,-7.05e-05
-1.3,-6.55e-05
-1.2,-6.05e-05
-1.1,-5.55e-05
-1.0,-5.04e-05
-0.9,-4.53e-05
-0.8,-4.03e-05
-0.7,-3.52e-05
-0.6,-3.02e-05
-0.5,-2.51e-05
-0.4,-2.01e-05
-0.3,-1.51e-05
-0.2,-1.029e-05
-0.1,-5.24e-06
0.0,-3.04e-07
0.1,2.06e-06
0.2,9.76e-06
0.3,1.479e-05
0.4,1.978e-05
0.5,2.53e-05
0.6,3.03e-05
0.7,3.53e-05
0.8,4.04e-05
0.9,4.53e-05
1.0,5.04e-05
1.1,5.55e-05
1.2,6.04e-05
1.3,6.55e-05
1.4,7.05e-05
1.5,7.56e-05
1.6,8.06e-05
1.7,8.56e-05
1.8,9.06e-05
1.9,9.56e-05
2.0,0.0001005
2.1,0.0001055
2.2,0.0001105
2.3,0.0001155
2.4,0.0001205
2.5,0.0001255
2.6,0.0001305
2.7,0.0001354
2.8,0.0001405
2.9,0.0001454
3.0,0.0001505
3.1,0.0001556
3.2,0.0001605
3.3,0.0001656
3.4,0.0001705
3.5,0.0001755
3.6,0.0001805
3.7,0.0001853
3.8,0.0001903
3.9,0.0001952
4.0,0.000203
4.1,0.000208
4.2,0.000213
4.3,0.000218
4.4,0.000223
4.5,0.000228
4.6,0.000233
4.7,0.000238
4.8,0.000242
4.9,0.000247
5.0,0.000253
